朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
新上房源，全南户型，两居两卫，少有的户型！！！,445万,单价43071元/平米
朝阳新城五区 2室1厅 370万,370万,单价48423元/平米
稻香园东南两居带大客厅 满五年唯一,860万,单价93286元/平米
育慧西里 东西通透 满五唯一 无遮挡 采光好,439万,单价61589元/平米
公主坟翠微两居室 全明格局户型 南北向低楼层,455万,单价95189元/平米
满五年唯一 海淀两居 双阳台 1999年建成,420万,单价62260元/平米
满五年家庭名下就一套 全南朝向,830万,单价92697元/平米
满五唯一 非顶层 业主诚心出售,235万,单价34590元/平米
花家地南里 2室2厅 380万,380万,单价65002元/平米
昌运宫 1室1厅 410万,410万,单价81028元/平米
鲁谷永乐东区中间层的朝南两居室,275万,单价45803元/平米
八里庄西里南北三居  精装 满五年 诚意出售,445万,单价58369元/平米
手帕口北街 2室1厅 453万,453万,单价87723元/平米
展小 东西通透  阳光房  户型方正 两室一厅,630万,单价119093元/平米
白纸坊东街25号院 高层2居室 陶然亭地铁 万寿公园,585万,单价101369元/平米
满五+唯一+可转商，南北通透+首付170,370万,单价41199元/平米
此房满五公房 精装修   诚心出售  采光充足,399万,单价69731元/平米
东二环内 南北带电梯 带正规客厅  看房方便,665万,单价102340元/平米
精装修两居室，房子户型方正，没有浪费面积,425万,单价54537元/平米
双榆树北里 满五年唯一 南北中间层 诚意出售,630万,单价110333元/平米
门头沟新城区 南北通透两居室 满五唯一商品房 采光好,278万,单价37047元/平米
南北通透，楼层好，视野宽阔，采光充足，交通便利,265万,单价44263元/平米
万科物业 南北通透 精装修两居 免征个人所得税,395万,单价44338元/平米
沁春家园 诚心出售  板楼正规一居室  满五年唯一,389万,单价64576元/平米
翠微总价低精装两居 诚心出售 随时可签约 95年建成,418万,单价84105元/平米
中间楼层，精装修  低总价两居室,349万,单价70081元/平米
龙湖香醍漫步四区南区 3室2厅 568万,568万,单价42823元/平米
万年花城四期 1室0厅 345万,345万,单价69796元/平米
云龙家园 2室1厅 385万,385万,单价42688元/平米
马家堡 角门东  正规小两居 朝南向 精装修,286万,单价65134元/平米
满五唯一 93年南北通透两居 不临街 安静 没有遮挡,385万,单价67699元/平米
风雅园二区 一层一居室，商品房，业主自住精装修,388万,单价44825元/平米
精装修，大开间，电梯板楼，小户型，总价低,296万,单价75743元/平米
2014年建成海淀区高档商品房，房子精装修业主自住,660万,单价59562元/平米
随时看房  低总价 电梯商品房 东郊湿地公园,179万,单价39947元/平米
月坛北街 2室1厅 616万,616万,单价118690元/平米
融景城 2室1厅 520万,520万,单价59784元/平米
核桃园北里 2室1厅 535万,535万,单价83607元/平米
佳和宜园 1室1厅 195万,195万,单价40890元/平米
鲁能 经典两居 价位合适 急售 看房方便,338万,单价39125元/平米
平原里小区 2室1厅 640万,640万,单价97770元/平米
改善住房低总价，交通便利通八达，通州万达看繁华。。,340万,单价40704元/平米
安翔里小区 2室1厅 450万,450万,单价72745元/平米
金色漫香郡南区 2室1厅 220万,220万,单价37685元/平米
和平里 南北 明厨明卫一居 精装修 地铁2号8号线鼓楼站,520万,单价105670元/平米
广安﹒康馨家园 2室1厅 338万,338万,单价46480元/平米
正规两室两卫 满五年唯一 原值265万  产权清晰无抵押,765万,单价54030元/平米
东三环双井 苹果社区 南向两居 满五年唯一 带飘窗,765万,单价79638元/平米
中等装修，高原值，满二年，近地铁商场。,310万,单价35674元/平米
西便门外大街 3室1厅 1170万,1170万,单价143137元/平米
西坝河东里，南北通透，全明格局，带客厅,635万,单价80738元/平米
全南1+1经典格局，满五年，业主一套，对花园采光好,670万,单价78262元/平米
满五唯一，精装修，靠谱签约，南北通透看房提前联系,537万,单价59934元/平米
满五年唯一，精装修，南北通透，中间层，采光好,406万,单价62462元/平米
【商贷首套净首付103万】【满五唯一】【西南四环】,258万,单价47584元/平米
东三环内全南两居室位置好出行方便,408万,单价69875元/平米
双卧室朝南    精装修  采光好   诚心出售,365万,单价49338元/平米
房子满五唯一限价商品房，高楼层，采光好，视野好,425万,单价48577元/平米
西三区商五唯一大2居精装修，5千米视野无遮挡，采光好,410万,单价38119元/平米
温泉东里  全南两居室 采光视野好,385万,单价46097元/平米
东王庄 南北 二层 视野开阔 无遮挡,525万,单价82873元/平米
荣上居  2007年电梯房  24小时保安,425万,单价104269元/平米
望春园全明格局两居室  中高楼层   无遮挡  户型方正,582万,单价64410元/平米
安贞门一层一居室，阳台建成卧室，南北不遮挡,328万,单价88841元/平米
中国日报社家属楼，管理好，楼层适宜，采光无遮挡,520万,单价84279元/平米
全南两居    中高楼层 采光充足,513万,单价65669元/平米
四环里 2000年新房 西北大一居 带电梯 居住舒适,475万,单价62798元/平米
东城  和平里  正规一室一厅  中间层 满五年唯一公房,450万,单价112896元/平米
安华里 精装南北两居 业主自住,435万,单价81538元/平米
金顶街四区 2室1厅 368万,368万,单价46903元/平米
志新北里 南北通透2居 中间层 满五年公房 明厨明卫,585万,单价90000元/平米
满五唯一南北通透两居室 诚心卖 视野开阔 采光好,365万,单价51781元/平米
东直门民安小区南向无遮挡正规两居室,760万,单价107300元/平米
马家堡洋桥角门地铁边上电梯两居室,408万,单价52402元/平米
北七家名佳花园南北通透两居室中间楼层采光好,360万,单价40459元/平米
高楼层四居室 双主卧朝南 带地下车位,2450万,单价118915元/平米
满五年唯一 南北通透，纯精装修,480万,单价84493元/平米
南北通透视野正对中心花园的低密度板楼,570万,单价72299元/平米
炫特区 满两年 东北一居室 高原值 看房随时 无遮挡,345万,单价60157元/平米
实际面积大，层高3.3米95年建成，钢混结构带精装修,448万,单价92869元/平米
板楼一梯两户 楼下双花园可安全溜娃 锻炼 休闲,525万,单价57365元/平米
公安部分房，中间楼层，总价低两居室，,470万,单价94000元/平米
永乐西区 2室1厅 279万,279万,单价48709元/平米
南北三居室 双卧客厅朝阳 地暖,640万,单价51233元/平米
小区中间位置   带阳台    满两年  精装修,640万,单价72235元/平米
国美3号院正西南两居室 小区中间位置 不临街 户型方正,579万,单价63038元/平米
2003年商品房！满5年唯一！看房方便业主随时签约！,798万,单价82057元/平米
新华联家园南区两居，南北通透 满五唯一,425万,单价48733元/平米
满五 家庭名下一套住房 南北通透 一层带院 停车位充足,408万,单价76120元/平米
八里庄北里 1室1厅 385万,385万,单价89535元/平米
电梯板楼两居，精装修，商品房，拎包入住，户型方正,425万,单价38008元/平米
枣园小区正规南向一居室 楼层好 满五年,220万,单价47537元/平米
南北通透中间层两居室，格局严谨户型方正,888万,单价74360元/平米
新出！低总价高层南北通透三居室！,790万,单价87555元/平米
满五家庭唯一住房 中间层 南向  诚心出售 可签约,345万,单价73218元/平米
古城南里 2室1厅 300万,300万,单价53201元/平米
板楼南北通透三居室 双卧朝南 有车位,810万,单价54279元/平米
朝西一居室 总价低 采光好 交通方便,575万,单价101501元/平米
12月1日满五年，唯一住房，东西通透，二次精装无遮挡,688万,单价75981元/平米
70年住宅   南北户型 精装修 地铁沿线,492万,单价59078元/平米
近大观园复式三居，两卫，精装修，看房方便,1040万,单价64855元/平米
房子位置好，不临街，有钥匙，看房方便,1000万,单价82001元/平米
满五年公房，南北通透中间层，交通便利,412万,单价59043元/平米
店长推荐，全明格局，首付75万购正规一室一厅,201万,单价35557元/平米
育新二期塔楼南北向一居室靠谱出售,433万,单价81499元/平米
华腾园 二期经典两居 利用率高 有钥匙看房随时 无个税,645万,单价74671元/平米
北邮北门 东西向大两居 满五年唯一公房  看房随时,698万,单价84320元/平米
四环里  1996年  精装修 满五唯一 南北通透 首付155,360万,单价57508元/平米
南北三居，卫生间带窗，适合改善家庭，业主诚售,799万,单价59981元/平米
南北通透大两居 双卧朝南 中间楼层,625万,单价79215元/平米
小区中间位置，临湖景观好，满二年，高原值，只有契税,1640万,单价104081元/平米
兴海家园月苑 1室1厅 283万,283万,单价45093元/平米
望花路西里 2室1厅 388万,388万,单价66920元/平米
双南两居室，总价低，满五年公房税费少,560万,单价109654元/平米
德胜电梯房 中高层采光好 采光好无遮挡,810万,单价138699元/平米
西直门中国银行家属板楼南北两居大客厅采光好急售,788万,单价89648元/平米
南北双通透，小三居，精装修，满两年，原值374万,539万,单价60808元/平米
潘家园 武圣东里满五唯一 南北通透 精装修 业主诚售,398万,单价57341元/平米
满五年，单价低，交通便利，配套设施完善，随时签约,730万,单价52017元/平米
南北通透，明厨明卫，出行便利，生活便捷,360万,单价62686元/平米
京科苑二层两居室 满五唯一 诚心出售,270万,单价42824元/平米
农光里南北向一居   满五年  看房方便,288万,单价58800元/平米
双井 华腾园花园式小区 精装自住三居 看房方便,780万,单价59725元/平米
精装修三居室，高楼层，南北通透,410万,单价45846元/平米
教场口6号院，全南格局，满五唯一,740万,单价135980元/平米
北苑天时名苑双卧朝南高楼层万达商圈紧邻地铁适合宜居,478万,单价46594元/平米
鲁艺上河村 一梯一户 精装修 高层南北通透三居室,1895万,单价105943元/平米
1999年楼龄电梯房，正规两居室，明厨明卫。,349万,单价48132元/平米
阜光里小区 2室1厅 530万,530万,单价90290元/平米
VR全景看房 精装两居 南北通透 看房方便,368万,单价40994元/平米
西潞苑小区 2室2厅 328万,328万,单价32621元/平米
盛嘉华苑 2室1厅 280万,280万,单价36162元/平米
广渠门，远洋德邑东西向一居室，无遮挡,530万,单价89984元/平米
"地质大学院内，2000年建，南北通透,大客厅带南窗",650万,单价95998元/平米
北二环近地铁 低楼层 南北两居,480万,单价93750元/平米
